model,sku_id,RMSE,MAE,MAPE,R2
RandomForest,MBA13,69.05111429488922,46.848083623693384,15.62584365670163,0.46207592564049693
RandomForest,MBA15,72.33593591546567,48.17565420560748,18.317076722849798,0.37688702478847125
RandomForest,MBP14,51.90778060094544,35.72121495327103,18.251398530450743,0.34455345208722477
RandomForest,MBP16,28.38035024284482,18.26004672897196,12.118354926492279,0.41465129425240366
XGBoost,MBA13,67.00141745818703,45.26679229736328,14.993838572696752,0.4935372471809387
XGBoost,MBA15,76.88768632618458,51.78710174560547,19.516334226948306,0.2960008382797241
XGBoost,MBP14,55.19311135472999,39.536067962646484,19.547795005677276,0.2589592933654785
XGBoost,MBP16,29.609820247311955,19.825809478759766,13.166931654470734,0.3628367781639099
LightGBM,MBA13,65.4519386009409,43.81247156509266,14.493977742047587,0.516691284022629
LightGBM,MBA15,73.11689139261247,47.95986436667035,18.20806069021853,0.36335985231185786
LightGBM,MBP14,49.010174676894295,33.301643173141365,17.0703069988333,0.41568792588869363
LightGBM,MBP16,28.26990490419258,18.253331126809076,12.237361960043296,0.41919833056244005
