model,sku_id,RMSE,MAE,MAPE,R2
RandomForest_v3,MBA13,46.49309622048469,24.75216027874565,6.114829674990153,0.8244991238067244
RandomForest_v3,MBA15,34.60822735228272,21.369205607476637,9.149079405940872,0.8987852739387631
RandomForest_v3,MBP14,22.83228497945787,15.839158878504675,6.282590016559983,0.8711859845486489
RandomForest_v3,MBP16,20.430590931110938,11.416355140186914,11.126730635815802,0.760695126737914
XGBoost_v3,MBA13,47.19419044362059,25.050995868906533,6.347325628444654,0.8191662734076365
XGBoost_v3,MBA15,37.55240039329092,21.61440024850455,8.896331627922184,0.8808317945252246
XGBoost_v3,MBP14,22.390449791121807,15.863582029973514,6.246060737448363,0.8761231932802463
XGBoost_v3,MBP16,20.816332991387004,12.654312769934604,11.947839008592902,0.751573375009738
LightGBM_v3,MBA13,49.548427478049305,25.02586416645854,6.483638772819697,0.8006748486946145
LightGBM_v3,MBA15,50.70560511706717,28.708755687551786,11.637361827222428,0.7827314161621881
LightGBM_v3,MBP14,26.70843815290234,18.06373600478847,6.9268681315361045,0.8237369218472783
LightGBM_v3,MBP16,28.428901889150733,15.75884632231557,15.506236000479587,0.5366492656621504
