model,sku_id,RMSE,MAE,MAPE,R2
LinearRegression_v3,MBA13,76.4663486670709,39.68828541067443,10.11148183233398,0.525273958098056
LinearRegression_v3,MBA15,73.60446134154199,38.424981987345845,14.763557380641545,0.5421815704324446
LinearRegression_v3,MBP14,41.405826941150266,25.924022241613027,9.882959133264166,0.5763694311755231
LinearRegression_v3,MBP16,28.228243168269966,15.039293417783819,14.340904213648933,0.5431670864103266
Ridge_v3,MBA13,76.49480517668742,39.47954635318985,10.054772810198472,0.5249205592482654
Ridge_v3,MBA15,73.92595033738758,38.507695803040136,14.805281866872372,0.5381735247738368
Ridge_v3,MBP14,41.38106287447893,25.909985719703467,9.866922579820335,0.5768760110094653
Ridge_v3,MBP16,28.213322820033934,14.938355228791398,14.26920205336264,0.5436498868986106
Lasso_v3,MBA13,76.50142258512186,39.54292087759526,10.068786495097568,0.5248383594002468
Lasso_v3,MBA15,73.92134210502375,38.64021316949383,14.84504128383658,0.5382310996137483
Lasso_v3,MBP14,41.39744133238264,26.033458134808807,9.902918402275201,0.5765410031862379
Lasso_v3,MBP16,28.320519872264455,15.059008680527363,14.379920718641614,0.5401754771462519
ElasticNet_v3,MBA13,84.12122185388976,42.76903326585714,11.375089973095157,0.4254689626679966
ElasticNet_v3,MBA15,84.72776449344956,47.16416366995083,18.3883288815145,0.39335239197208893
ElasticNet_v3,MBP14,45.48773276990154,29.895823944716913,11.848094957852977,0.48872689514963896
ElasticNet_v3,MBP16,31.272687052819336,17.64116193331983,16.786345895151232,0.4393135199930527
