iter	RMSE
0	37.22717465
1	36.22359622
2	35.19384511
3	34.28455811
4	33.29381615
5	32.57861789
6	31.67368844
7	31.02132573
8	30.30281403
9	29.5560211
10	28.78357513
11	28.04286882
12	27.34079239
13	26.6767567
14	26.01693573
15	25.38303809
16	24.81060555
17	24.19752293
18	23.70552951
19	23.40117574
20	23.04220746
21	22.81881914
22	22.38496087
23	21.90782408
24	21.50380864
25	21.28296887
26	20.86701454
27	20.41581717
28	20.12311649
29	19.75610762
30	19.53239124
31	19.25593645
32	18.89050905
33	18.65129713
34	18.35647529
35	18.11876466
36	17.86230378
37	17.71291465
38	17.42655042
39	17.23049524
40	17.07944549
41	16.79592931
42	16.56914304
43	16.39273997
44	16.22192565
45	16.07135012
46	15.96682621
47	15.84532376
48	15.67572871
49	15.57765259
50	15.38418977
51	15.18982569
52	15.01413844
53	14.82995869
54	14.73031712
55	14.61680374
56	14.47684417
57	14.36904188
58	14.25223691
59	14.09508205
60	13.96542918
61	13.79822806
62	13.67923491
63	13.63312351
64	13.53246763
65	13.43776183
66	13.27818767
67	13.22046169
68	13.10704024
69	13.02621719
70	13.00454513
71	12.96590202
72	12.87175259
73	12.82713101
74	12.80037053
75	12.73273647
76	12.66168199
77	12.50691765
78	12.41532399
79	12.26114129
80	12.22842832
81	12.17219438
82	12.10569273
83	12.01284083
84	11.8791786
85	11.76122633
86	11.70402949
87	11.56973052
88	11.4995127
89	11.46251531
90	11.36499206
91	11.22854261
92	11.12596824
93	11.00762565
94	10.95959297
95	10.93087356
96	10.8132408
97	10.76553253
98	10.73608896
99	10.69725927
100	10.6047419
101	10.58292466
102	10.56709791
103	10.51412655
104	10.43612967
105	10.41778775
106	10.33084262
107	10.22737535
108	10.21925201
109	10.12267726
110	10.0484476
111	9.976734005
112	9.968207195
113	9.892727019
114	9.809039985
115	9.731829584
116	9.644617578
117	9.570645196
118	9.569306613
119	9.506815862
120	9.460259125
121	9.396298555
122	9.319275154
123	9.241105697
124	9.179889794
125	9.156514521
126	9.142745585
127	9.076704836
128	9.064007237
129	9.034903838
130	9.006687175
131	8.938174858
132	8.932481212
133	8.910290408
134	8.90215023
135	8.835929482
136	8.807378086
137	8.750647943
138	8.687056257
139	8.682116914
140	8.6219072
141	8.565255209
142	8.50688476
143	8.45029976
144	8.401672412
145	8.343356217
146	8.312214944
147	8.265765305
148	8.209161477
149	8.147142695
150	8.127172771
151	8.119302825
152	8.08657296
153	8.060103945
154	8.037774256
155	7.98583183
156	7.940414438
157	7.897644015
158	7.891424668
159	7.85155029
160	7.804779297
161	7.769408621
162	7.724852093
163	7.708169595
164	7.697675302
165	7.655663069
166	7.619682062
167	7.609501397
168	7.573244332
169	7.539005537
170	7.52872435
171	7.486039744
172	7.472413324
173	7.446535098
174	7.417135084
175	7.389186371
176	7.364703612
177	7.343946628
178	7.316449083
179	7.30958618
180	7.282585554
181	7.24406754
182	7.229963718
183	7.227809629
184	7.195700412
185	7.171676853
186	7.160254006
187	7.144499929
188	7.129404996
189	7.094166927
190	7.09259073
191	7.070728818
192	7.043851053
193	7.011760118
194	6.989302752
195	6.968102541
196	6.96634161
197	6.936145696
198	6.909784019
199	6.895659972
